nms_poller_engine  | 2026-03-27 01:51:59,195 - PollerEngine - INFO - Polled SW-IPT-MMR-P1-RACK8 IPT-03 (10.17.9.5): Status=UP, Latency=2.53ms
nms_poller_engine  | 2026-03-27 01:52:16,212 - PollerEngine - INFO - Selesai memproses iterasi ping perangkat.
nms_poller_engine  | 2026-03-27 01:52:47,206 - PollerEngine - INFO - Starting polling cycle...
nms_poller_engine  | 2026-03-27 01:52:47,236 - PollerEngine - INFO - Polled DBN_LAMongan (103.163.36.0): Status=UP, Latency=14.8ms
nms_poller_engine  | 2026-03-27 01:52:47,241 - PollerEngine - INFO - Polled FAHASA_Core.AS (103.168.254.1): Status=UP, Latency=1.99ms
nms_poller_engine  | 2026-03-27 01:52:47,252 - PollerEngine - INFO - Polled OLT.MDP-01 (103.162.16.8): Status=UP, Latency=8.92ms
nms_poller_engine  | 2026-03-27 01:52:47,255 - PollerEngine - INFO - Polled NE8K-JUJUNG.NET-AS134651 (113.192.29.254): Status=UP, Latency=1.49ms
nms_poller_engine  | 2026-03-27 01:52:47,267 - PollerEngine - INFO - Polled Dist.Mikrotik.MDP (103.162.16.8): Status=UP, Latency=9.42ms
nms_poller_engine  | 2026-03-27 01:52:48,270 - PollerEngine - INFO - Polled sw.P1.H3C (103.217.224.109): Status=DOWN, Latency=-1.0ms
nms_poller_engine  | 2026-03-27 01:52:48,276 - PollerEngine - INFO - Polled MDP_MMR.APJII (103.162.16.105): Status=UP, Latency=2.06ms
nms_poller_engine  | 2026-03-27 01:52:48,279 - PollerEngine - INFO - Polled Digta.Sw.MMR (103.172.120.42): Status=UP, Latency=1.74ms
nms_poller_engine  | 2026-03-27 01:52:48,283 - PollerEngine - INFO - Polled SW-IPT-MMR-P1-RACK8 IPT-03 (10.17.9.5): Status=UP, Latency=1.87ms
nms_poller_engine  | 2026-03-27 01:53:05,342 - PollerEngine - INFO - Selesai memproses iterasi ping perangkat.
nms_poller_engine  | 2026-03-27 01:53:36,336 - PollerEngine - INFO - Starting polling cycle...
nms_poller_engine  | 2026-03-27 01:53:36,361 - PollerEngine - INFO - Polled DBN_LAMongan (103.163.36.0): Status=UP, Latency=14.8ms
nms_poller_engine  | 2026-03-27 01:53:36,365 - PollerEngine - INFO - Polled FAHASA_Core.AS (103.168.254.1): Status=UP, Latency=1.66ms
nms_poller_engine  | 2026-03-27 01:53:36,376 - PollerEngine - INFO - Polled OLT.MDP-01 (103.162.16.8): Status=UP, Latency=9.06ms
nms_poller_engine  | 2026-03-27 01:53:36,380 - PollerEngine - INFO - Polled NE8K-JUJUNG.NET-AS134651 (113.192.29.254): Status=UP, Latency=1.71ms
nms_poller_engine  | 2026-03-27 01:53:36,390 - PollerEngine - INFO - Polled Dist.Mikrotik.MDP (103.162.16.8): Status=UP, Latency=8.7ms
nms_poller_engine  | 2026-03-27 01:53:37,393 - PollerEngine - INFO - Polled sw.P1.H3C (103.217.224.109): Status=DOWN, Latency=-1.0ms
nms_poller_engine  | 2026-03-27 01:53:37,398 - PollerEngine - INFO - Polled MDP_MMR.APJII (103.162.16.105): Status=UP, Latency=2.24ms
nms_poller_engine  | 2026-03-27 01:53:37,403 - PollerEngine - INFO - Polled Digta.Sw.MMR (103.172.120.42): Status=UP, Latency=2.13ms
nms_poller_engine  | 2026-03-27 01:53:37,408 - PollerEngine - INFO - Polled SW-IPT-MMR-P1-RACK8 IPT-03 (10.17.9.5): Status=UP, Latency=2.26ms
nms_poller_engine  | 2026-03-27 01:53:37,411 - PollerEngine - INFO - Polled Mkr.Lt8 (10.168.2.5): Status=UP, Latency=1.4ms
nms_poller_engine  | 2026-03-27 01:53:55,009 - PollerEngine - INFO - Selesai memproses iterasi ping perangkat.
nms_poller_engine  | 2026-03-27 01:54:26,001 - PollerEngine - INFO - Starting polling cycle...
nms_poller_engine  | 2026-03-27 01:54:26,027 - PollerEngine - INFO - Polled DBN_LAMongan (103.163.36.0): Status=UP, Latency=14.7ms
nms_poller_engine  | 2026-03-27 01:54:26,031 - PollerEngine - INFO - Polled FAHASA_Core.AS (103.168.254.1): Status=UP, Latency=1.58ms
nms_poller_engine  | 2026-03-27 01:54:26,042 - PollerEngine - INFO - Polled OLT.MDP-01 (103.162.16.8): Status=UP, Latency=8.94ms
nms_poller_engine  | 2026-03-27 01:54:26,046 - PollerEngine - INFO - Polled NE8K-JUJUNG.NET-AS134651 (113.192.29.254): Status=UP, Latency=1.11ms
nms_poller_engine  | 2026-03-27 01:54:26,057 - PollerEngine - INFO - Polled Dist.Mikrotik.MDP (103.162.16.8): Status=UP, Latency=8.74ms
nms_poller_engine  | 2026-03-27 01:54:27,060 - PollerEngine - INFO - Polled sw.P1.H3C (103.217.224.109): Status=DOWN, Latency=-1.0ms
nms_poller_engine  | 2026-03-27 01:54:27,067 - PollerEngine - INFO - Polled MDP_MMR.APJII (103.162.16.105): Status=UP, Latency=2.02ms
