nms_poller_engine  | 2026-03-27 02:27:40,396 - PollerEngine - INFO - Polled OLT.MDP-01 (103.162.16.8): Status=UP, Latency=9.44ms
nms_poller_engine  | 2026-03-27 02:27:40,399 - PollerEngine - INFO - Polled NE8K-JUJUNG.NET-AS134651 (113.192.29.254): Status=UP, Latency=1.28ms
nms_poller_engine  | 2026-03-27 02:27:40,409 - PollerEngine - INFO - Polled Dist.Mikrotik.MDP (103.162.16.8): Status=UP, Latency=8.77ms
nms_poller_engine  | 2026-03-27 02:27:41,412 - PollerEngine - INFO - Polled sw.P1.H3C (103.217.224.109): Status=DOWN, Latency=-1.0ms
nms_poller_engine  | 2026-03-27 02:27:41,417 - PollerEngine - INFO - Polled MDP_MMR.APJII (103.162.16.105): Status=UP, Latency=1.74ms
nms_poller_engine  | 2026-03-27 02:27:41,420 - PollerEngine - INFO - Polled Digta.Sw.MMR (103.172.120.42): Status=UP, Latency=1.5ms
nms_poller_engine  | 2026-03-27 02:27:41,424 - PollerEngine - INFO - Polled SW-IPT-MMR-P1-RACK8 IPT-03 (10.17.9.5): Status=UP, Latency=1.76ms
nms_poller_engine  | 2026-03-27 02:27:41,427 - PollerEngine - INFO - Polled Mkr.Lt8 (10.168.2.5): Status=UP, Latency=1.0ms
nms_poller_engine  | 2026-03-27 02:27:58,464 - PollerEngine - INFO - Selesai memproses iterasi ping perangkat.
nms_poller_engine  | 2026-03-27 02:28:29,452 - PollerEngine - INFO - Starting polling cycle...
nms_poller_engine  | 2026-03-27 02:28:29,477 - PollerEngine - INFO - Polled DBN_LAMongan (103.163.36.0): Status=UP, Latency=14.6ms
nms_poller_engine  | 2026-03-27 02:28:29,481 - PollerEngine - INFO - Polled FAHASA_Core.AS (103.168.254.1): Status=UP, Latency=1.51ms
nms_poller_engine  | 2026-03-27 02:28:29,493 - PollerEngine - INFO - Polled OLT.MDP-01 (103.162.16.8): Status=UP, Latency=9.24ms
nms_poller_engine  | 2026-03-27 02:28:29,497 - PollerEngine - INFO - Polled NE8K-JUJUNG.NET-AS134651 (113.192.29.254): Status=UP, Latency=1.39ms
nms_poller_engine  | 2026-03-27 02:28:29,508 - PollerEngine - INFO - Polled Dist.Mikrotik.MDP (103.162.16.8): Status=UP, Latency=9.21ms
nms_poller_engine  | 2026-03-27 02:28:30,510 - PollerEngine - INFO - Polled sw.P1.H3C (103.217.224.109): Status=DOWN, Latency=-1.0ms
nms_poller_engine  | 2026-03-27 02:28:31,514 - PollerEngine - INFO - Polled MDP_MMR.APJII (103.162.16.105): Status=DOWN, Latency=-1.0ms
nms_poller_engine  | 2026-03-27 02:28:31,519 - PollerEngine - INFO - Polled Digta.Sw.MMR (103.172.120.42): Status=UP, Latency=1.99ms
nms_poller_engine  | 2026-03-27 02:28:31,522 - PollerEngine - INFO - Polled SW-IPT-MMR-P1-RACK8 IPT-03 (10.17.9.5): Status=UP, Latency=2.07ms
nms_poller_engine  | 2026-03-27 02:28:31,525 - PollerEngine - INFO - Polled Mkr.Lt8 (10.168.2.5): Status=UP, Latency=1.11ms
nms_poller_engine  | 2026-03-27 02:28:48,549 - PollerEngine - INFO - Selesai memproses iterasi ping perangkat.
